1,6.909176,79.896799,Level crossing with gates ahead,7.7797748148441315 %
2,6.909200,79.896729,Level crossing with gates ahead,6.634270399808884 %
3,6.909217,79.896657,Level crossing with gates ahead,6.992856413125992 %
4,6.909231,79.896576,Level crossing with gates ahead,8.235106617212296 %
5,6.909241,79.896497,Level crossing with gates ahead,8.4762804210186 %
6,6.909251,79.896398,Left bend ahead,6.65101632475853 %
7,6.909253,79.896295,Level crossing with gates ahead,6.6979750990867615 %
8,6.909256,79.896202,Level crossing with gates ahead,8.229999989271164 %
9,6.909266,79.896111,Level crossing with gates ahead,7.375812530517578 %
10,6.909262,79.896006,Level crossing with gates ahead,8.774740993976593 %
11,6.909275,79.895915,Level crossing with gates ahead,7.081045210361481 %
12,6.909294,79.895823,Level crossing with gates ahead,7.142781466245651 %
13,6.909318,79.895722,Left bend ahead,6.861548870801926 %
14,6.909347,79.895630,Left bend ahead,6.460066139698029 %
15,6.909363,79.895555,Level crossing with gates ahead,5.8578453958034515 %
16,6.909356,79.895488,Level crossing with gates ahead,6.9683752954006195 %
17,6.909390,79.895439,Left bend ahead,5.6144829839468 %
18,6.909393,79.895395,Level crossing with gates ahead,5.865251272916794 %
19,6.909380,79.895365,Level crossing with gates ahead,5.759897083044052 %
20,6.909361,79.895336,Left bend ahead,5.541516095399857 %
21,6.909330,79.895331,Level crossing with gates ahead,6.466737389564514 %
22,6.909307,79.895341,Pass left side,6.205744668841362 %
23,6.909277,79.895343,Level crossing with gates ahead,6.406035274267197 %
24,6.909265,79.895304,Left bend ahead,5.618700385093689 %
25,6.909265,79.895282,Level crossing with gates ahead,6.37856051325798 %
26,6.909294,79.895251,Level crossing with gates ahead,6.6558390855789185 %
27,6.909292,79.895229,Level crossing with gates ahead,6.517349183559418 %
28,6.909323,79.895209,Level crossing with gates ahead,6.277754902839661 %
29,6.909312,79.895223,Level crossing with gates ahead,6.512380391359329 %
30,6.909335,79.895206,Level crossing with gates ahead,6.101591140031815 %
31,6.909300,79.895223,Level crossing with gates ahead,7.232590764760971 %
32,6.909301,79.895221,Level crossing with gates ahead,7.102857530117035 %
33,6.909330,79.895199,Level crossing with gates ahead,6.257753074169159 %
34,6.909347,79.895183,Level crossing with gates ahead,6.636235862970352 %
35,6.909338,79.895183,Level crossing with gates ahead,7.009728252887726 %
36,6.909332,79.895170,Level crossing with gates ahead,6.777452677488327 %
37,6.909331,79.895164,Left bend ahead,5.618007108569145 %
38,6.909338,79.895152,Level crossing with gates ahead,6.624855101108551 %
39,6.909334,79.895149,Pass left side,6.126163154840469 %
40,6.909333,79.895142,Pass left side,6.221884116530418 %
41,6.909324,79.895140,Left bend ahead,6.028406694531441 %
42,6.909318,79.895145,Pass left side,6.200235337018967 %
43,6.909324,79.895143,Level crossing with gates ahead,5.6980617344379425 %
44,6.909334,79.895148,Left bend ahead,5.7731058448553085 %
45,6.909327,79.895151,Level crossing with gates ahead,6.445293873548508 %
46,6.909338,79.895160,Left bend ahead,5.147960409522057 %
