fid,lat,long,sign,accuracy
123,6.891040,79.927182,U turn,26.259851455688477 %
124,6.891036,79.927295,U turn,25.143706798553467 %
125,6.891035,79.927399,U turn,22.199441492557526 %
126,6.891034,79.927500,U turn,24.243758618831635 %
127,6.891031,79.927591,U turn,25.817355513572693 %
128,6.891026,79.927688,U turn,24.29952174425125 %
129,6.891019,79.927794,U turn,22.910910844802856 %
130,6.891016,79.927895,U turn,23.99739772081375 %
131,6.891019,79.927989,U turn,24.929577112197876 %
132,6.891028,79.928075,U turn,23.55819046497345 %
133,6.891064,79.928150,U turn,21.356187760829926 %
134,6.891095,79.928216,U turn,21.09217792749405 %
