108,6.908972,79.966777,No parking,56.51504397392273 %
109,6.908944,79.966684,No parking,55.65149188041687 %
110,6.908915,79.966601,No parking,50.92076063156128 %
111,6.908886,79.966525,No parking,58.58444571495056 %
112,6.908859,79.966456,No parking,67.72574782371521 %
113,6.908830,79.966394,No parking,55.011916160583496 %
114,6.908806,79.966335,No parking,60.90996265411377 %
115,6.908779,79.966277,No parking,67.47506856918335 %
116,6.908749,79.966223,No parking,73.14271330833435 %
117,6.908708,79.966174,No parking,69.17170882225037 %
118,6.908661,79.966126,No parking,65.22042155265808 %
119,6.908614,79.966082,No parking,76.59830451011658 %
120,6.908561,79.966037,No parking,70.76081037521362 %
121,6.908497,79.965996,No parking,69.50054168701172 %
122,6.908437,79.965955,No parking,76.28474235534668 %
123,6.908367,79.965912,No parking,73.59683513641357 %
124,6.908294,79.965872,No parking,71.01686000823975 %
125,6.908218,79.965826,No parking,62.848085165023804 %
126,6.908140,79.965783,No parking,57.76103734970093 %
127,6.908059,79.965746,No parking,63.191163539886475 %
128,6.907978,79.965708,No parking,62.7244770526886 %
129,6.907891,79.965673,No parking,70.09690403938293 %
130,6.907804,79.965632,No parking,66.26036763191223 %
131,6.907713,79.965580,No parking,62.096887826919556 %
132,6.907622,79.965523,No parking,64.48931097984314 %
133,6.907538,79.965466,No parking,58.19225311279297 %
134,6.907454,79.965414,No parking,61.44603490829468 %
135,6.907379,79.965364,No parking,44.066932797431946 %
136,6.907303,79.965320,No parking,52.151888608932495 %
137,6.907227,79.965277,No parking,71.56846523284912 %
138,6.907153,79.965238,No parking,60.39430499076843 %
139,6.907084,79.965194,No parking,58.584052324295044 %
140,6.907018,79.965141,No parking,60.47351956367493 %
141,6.906944,79.965092,No parking,67.03883409500122 %
142,6.906869,79.965037,No parking,65.79530835151672 %
143,6.906796,79.964984,No parking,61.413055658340454 %
144,6.906720,79.964925,No parking,65.91418385505676 %
145,6.906650,79.964868,No parking,68.23756098747253 %
146,6.906588,79.964810,No parking,72.7031946182251 %
147,6.906524,79.964753,No parking,75.34756064414978 %
148,6.906461,79.964696,No parking,69.01279091835022 %
149,6.906401,79.964633,No parking,61.115962266922 %
150,6.906338,79.964562,No parking,76.3428270816803 %
151,6.906284,79.964493,No parking,76.03986263275146 %
152,6.906234,79.964425,No parking,72.73043990135193 %
153,6.906191,79.964355,No parking,74.83696341514587 %
154,6.906154,79.964282,No parking,76.88660025596619 %
155,6.906117,79.964206,No parking,69.88966464996338 %
156,6.906076,79.964116,No parking,71.21698260307312 %
157,6.906031,79.964010,No parking,67.46597290039062 %
158,6.905993,79.963916,No parking,71.05786800384521 %
159,6.905958,79.963836,No parking,64.01464939117432 %
160,6.905923,79.963764,No parking,70.03307938575745 %
161,6.905895,79.963693,No parking,78.08890342712402 %
162,6.905867,79.963629,No parking,77.02592015266418 %
163,6.905838,79.963571,No parking,74.32240843772888 %
164,6.905808,79.963511,No parking,71.4792788028717 %
165,6.905785,79.963456,No parking,82.56824016571045 %
166,6.905761,79.963410,No parking,64.51548337936401 %
167,6.905745,79.963374,No parking,77.76051163673401 %
168,6.905734,79.963347,No parking,75.52909255027771 %
169,6.905725,79.963325,No parking,76.29535794258118 %
170,6.905717,79.963303,No parking,77.26085782051086 %
171,6.905707,79.963284,No parking,83.40981602668762 %
172,6.905696,79.963262,No parking,77.99826860427856 %
173,6.905682,79.963236,No parking,77.68778800964355 %
174,6.905667,79.963205,No parking,79.18083071708679 %
175,6.905644,79.963173,No parking,70.4547107219696 %
176,6.905624,79.963135,No parking,65.61893224716187 %
177,6.905598,79.963094,No parking,68.12319159507751 %
178,6.905570,79.963046,No parking,72.17814922332764 %
179,6.905543,79.962988,No parking,67.99039840698242 %
180,6.905515,79.962926,No parking,75.92619061470032 %
181,6.905482,79.962848,No parking,74.11298751831055 %
182,6.905447,79.962768,No parking,72.92822003364563 %
183,6.905412,79.962690,No parking,78.06510925292969 %
184,6.905369,79.962608,No parking,80.15241026878357 %
185,6.905324,79.962528,No parking,72.328120470047 %
186,6.905276,79.962447,No parking,71.4665174484253 %
187,6.905223,79.962368,No parking,64.08346891403198 %
188,6.905171,79.962291,No parking,68.86368989944458 %
189,6.905118,79.962209,No parking,65.14833569526672 %
190,6.905061,79.962135,No parking,72.47028350830078 %
191,6.905010,79.962060,No parking,65.76030254364014 %
192,6.904959,79.961983,No parking,64.74904417991638 %
193,6.904908,79.961908,No parking,59.65455770492554 %
194,6.904860,79.961832,No parking,65.30320644378662 %
195,6.904814,79.961761,No parking,73.2229232788086 %
196,6.904777,79.961689,No parking,70.18675804138184 %
197,6.904737,79.961618,No parking,55.54955005645752 %
198,6.904699,79.961557,No parking,73.86915683746338 %
199,6.904660,79.961494,No parking,74.17635917663574 %
200,6.904627,79.961429,No parking,75.9055495262146 %
201,6.904593,79.961367,No parking,67.59553551673889 %
202,6.904563,79.961305,No parking,65.02822637557983 %
203,6.904533,79.961246,No parking,77.98697352409363 %
204,6.904501,79.961189,No parking,74.16512966156006 %
205,6.904471,79.961129,No parking,70.80023288726807 %
206,6.904437,79.961065,No parking,72.37890958786011 %
207,6.904403,79.961002,No parking,65.82440137863159 %
208,6.904372,79.960934,No parking,68.00069212913513 %
209,6.904338,79.960870,No parking,64.14853930473328 %
210,6.904306,79.960806,No parking,72.72766828536987 %
211,6.904276,79.960744,No parking,68.45726370811462 %
212,6.904247,79.960678,No parking,69.98635530471802 %
213,6.904219,79.960613,No parking,72.02509045600891 %
214,6.904191,79.960554,No parking,64.85154032707214 %
215,6.904161,79.960489,No parking,76.17055177688599 %
216,6.904136,79.960427,No parking,66.78592562675476 %
