fid,lat,long,sign,accuracy
1,6.906313,79.902903,U turn,21.138714253902435 %
2,6.906292,79.903021,U turn,17.19598025083542 %
3,6.906342,79.903216,U turn,24.044759571552277 %
4,6.906366,79.903392,U turn,23.04462343454361 %
5,6.906374,79.903540,U turn,35.497984290122986 %
6,6.906373,79.903671,U turn,25.70289373397827 %
7,6.906342,79.903775,U turn,21.615956723690033 %
8,6.906328,79.903887,U turn,30.000904202461243 %
9,6.906287,79.903990,U turn,20.294654369354248 %
10,6.906272,79.904083,U turn,21.942979097366333 %
11,6.906239,79.904199,U turn,24.007730185985565 %
12,6.906188,79.904328,U turn,19.61706131696701 %
13,6.906125,79.904460,U turn,17.51648187637329 %
14,6.906055,79.904599,U turn,15.587975084781647 %
15,6.905960,79.904678,U turn,15.745168924331665 %
16,6.905861,79.904782,U turn,19.681116938591003 %
17,6.905793,79.904925,U turn,24.635249376296997 %
18,6.905725,79.905047,U turn,19.773036241531372 %
19,6.905642,79.905153,U turn,21.7441588640213 %
20,6.905543,79.905263,U turn,24.335823953151703 %
21,6.905482,79.905382,U turn,21.953444182872772 %
22,6.905422,79.905492,U turn,26.213061809539795 %
23,6.905328,79.905596,U turn,25.197306275367737 %
24,6.905221,79.905700,U turn,27.534455060958862 %
25,6.905122,79.905797,U turn,23.739807307720184 %
26,6.905024,79.905892,U turn,26.842275261878967 %
27,6.904926,79.905984,U turn,25.615763664245605 %
28,6.904824,79.906077,U turn,26.559507846832275 %
29,6.904734,79.906162,U turn,18.622414767742157 %
30,6.904647,79.906242,U turn,27.318015694618225 %
31,6.904560,79.906320,U turn,24.550703167915344 %
32,6.904474,79.906395,U turn,21.37913852930069 %
33,6.904394,79.906464,U turn,27.674874663352966 %
34,6.904311,79.906535,U turn,20.018270611763 %
35,6.904228,79.906607,U turn,21.20683789253235 %
36,6.904147,79.906678,U turn,24.320361018180847 %
37,6.904071,79.906746,U turn,21.83680087327957 %
38,6.904009,79.906807,U turn,21.6726616024971 %
39,6.903946,79.906869,U turn,16.97344034910202 %
40,6.903896,79.906920,U turn,31.797921657562256 %
41,6.903858,79.906960,U turn,24.298696219921112 %
42,6.903825,79.906990,U turn,25.54343044757843 %
43,6.903797,79.907016,U turn,24.479778110980988 %
44,6.903769,79.907040,U turn,24.753570556640625 %
45,6.903744,79.907062,U turn,26.19001269340515 %
46,6.903720,79.907078,U turn,22.944800555706024 %
48,6.903698,79.907094,U turn,27.652662992477417 %
49,6.903652,79.907135,U turn,23.01681935787201 %
50,6.903623,79.907160,U turn,26.545485854148865 %
51,6.903587,79.907198,U turn,21.64382040500641 %
52,6.903548,79.907242,U turn,21.690526604652405 %
53,6.903506,79.907286,U turn,20.131288468837738 %
54,6.903465,79.907328,U turn,21.712803840637207 %
55,6.903425,79.907369,U turn,18.67034137248993 %
56,6.903388,79.907407,U turn,22.60347306728363 %
57,6.903352,79.907448,U turn,23.441913723945618 %
58,6.903320,79.907485,U turn,22.63283133506775 %
59,6.903290,79.907522,U turn,24.42101538181305 %
60,6.903253,79.907569,U turn,25.628578662872314 %
61,6.903213,79.907623,U turn,22.39832431077957 %
62,6.903170,79.907686,U turn,21.365125477313995 %
63,6.903133,79.907749,U turn,25.967252254486084 %
64,6.903101,79.907814,U turn,23.293401300907135 %
65,6.903075,79.907876,U turn,23.555247485637665 %
66,6.903055,79.907937,U turn,28.194358944892883 %
67,6.903039,79.907997,U turn,25.0184565782547 %
68,6.903033,79.908065,U turn,22.3467618227005 %
69,6.903030,79.908135,U turn,26.574236154556274 %
70,6.903032,79.908200,U turn,26.973825693130493 %
71,6.903038,79.908269,U turn,27.599748969078064 %
72,6.903050,79.908340,U turn,27.829191088676453 %
73,6.903063,79.908400,U turn,25.377443432807922 %
74,6.903077,79.908468,U turn,27.275672554969788 %
75,6.903095,79.908536,U turn,22.26686328649521 %
76,6.903132,79.908613,U turn,23.529987037181854 %
77,6.903168,79.908694,U turn,26.880690455436707 %
78,6.903212,79.908772,U turn,27.007868885993958 %
79,6.903257,79.908852,U turn,28.15377712249756 %
80,6.903305,79.908936,U turn,20.32715380191803 %
81,6.903355,79.909025,U turn,24.107201397418976 %
82,6.903401,79.909112,U turn,24.20431673526764 %
83,6.903445,79.909201,U turn,23.86997789144516 %
84,6.903488,79.909292,U turn,23.040086030960083 %
85,6.903510,79.909402,U turn,26.49329900741577 %
86,6.903527,79.909512,U turn,27.938130497932434 %
87,6.903538,79.909624,U turn,23.700879514217377 %
88,6.903532,79.909731,U turn,27.562668919563293 %
89,6.903525,79.909832,U turn,21.381454169750214 %
90,6.903519,79.909920,U turn,21.357819437980652 %
91,6.903512,79.909999,U turn,19.716118276119232 %
92,6.903503,79.910076,U turn,23.90012890100479 %
93,6.903495,79.910153,U turn,23.694972693920135 %
94,6.903484,79.910233,U turn,21.512234210968018 %
95,6.903475,79.910286,U turn,23.15630316734314 %
96,6.903468,79.910326,U turn,24.050647020339966 %
97,6.903463,79.910350,U turn,27.894973754882812 %
98,6.903460,79.910365,U turn,21.215438842773438 %
99,6.903458,79.910383,U turn,18.527090549468994 %
100,6.903455,79.910408,U turn,24.779388308525085 %
101,6.903453,79.910435,U turn,25.17884075641632 %
102,6.903445,79.910469,U turn,23.73981475830078 %
103,6.903436,79.910514,U turn,24.218589067459106 %
104,6.903427,79.910561,U turn,22.774118185043335 %
105,6.903399,79.910606,U turn,22.056712210178375 %
106,6.903361,79.910644,U turn,25.207597017288208 %
107,6.903319,79.910680,U turn,21.347257494926453 %
108,6.903286,79.910696,U turn,21.88532203435898 %
109,6.903246,79.910717,U turn,21.59067988395691 %
110,6.903191,79.910736,U turn,24.77990984916687 %
111,6.903131,79.910763,U turn,23.470604419708252 %
112,6.903065,79.910798,U turn,22.92400598526001 %
113,6.902994,79.910840,U turn,24.112583696842194 %
114,6.902921,79.910886,U turn,21.043863892555237 %
115,6.902842,79.910935,U turn,25.012293457984924 %
116,6.902757,79.910988,U turn,22.53338098526001 %
117,6.902665,79.911045,U turn,24.594299495220184 %
