fid,lat,long,sign,accuracy
118,6.902567,79.911106,U turn,22.655194997787476 %
119,6.902469,79.911171,U turn,20.30910551548004 %
120,6.902371,79.911238,U turn,23.33565503358841 %
121,6.902276,79.911305,U turn,19.402077794075012 %
122,6.902180,79.911379,U turn,23.06538075208664 %
123,6.902091,79.911448,U turn,18.82063001394272 %
124,6.902003,79.911518,U turn,18.57316792011261 %
125,6.901919,79.911577,U turn,20.77692300081253 %
126,6.901829,79.911631,U turn,24.061530828475952 %
127,6.901735,79.911683,U turn,20.614315569400787 %
128,6.901636,79.911740,U turn,22.43856191635132 %
129,6.901539,79.911797,U turn,18.33529770374298 %
130,6.901446,79.911855,U turn,22.798827290534973 %
131,6.901334,79.911925,U turn,22.968758642673492 %
132,6.901225,79.911992,U turn,25.69018304347992 %
133,6.901111,79.912063,U turn,17.61726289987564 %
134,6.901005,79.912125,U turn,21.125715970993042 %
135,6.900902,79.912179,U turn,27.802550792694092 %
136,6.900798,79.912239,U turn,24.18602705001831 %
137,6.900688,79.912301,U turn,21.69819176197052 %
138,6.900577,79.912359,U turn,20.061302185058594 %
139,6.900465,79.912418,U turn,20.383983850479126 %
140,6.900350,79.912477,U turn,22.481325268745422 %
141,6.900236,79.912542,U turn,19.75259780883789 %
142,6.900126,79.912606,U turn,22.127999365329742 %
143,6.900018,79.912666,U turn,21.682943403720856 %
144,6.899903,79.912729,U turn,20.20343393087387 %
145,6.899790,79.912795,U turn,22.761420905590057 %
146,6.899680,79.912860,U turn,23.215778172016144 %
147,6.899577,79.912922,U turn,28.76262366771698 %
148,6.899474,79.912985,U turn,18.894624710083008 %
149,6.899371,79.913046,U turn,19.228342175483704 %
150,6.899267,79.913106,U turn,16.58598929643631 %
151,6.899165,79.913163,U turn,21.731019020080566 %
152,6.899067,79.913225,U turn,18.36642026901245 %
153,6.898969,79.913288,U turn,23.549693822860718 %
154,6.898870,79.913352,U turn,21.233300864696503 %
155,6.898769,79.913417,U turn,21.550478041172028 %
156,6.898666,79.913476,U turn,19.42821741104126 %
157,6.898563,79.913531,U turn,21.475832164287567 %
158,6.898462,79.913588,U turn,20.198316872119904 %
159,6.898364,79.913649,U turn,25.008514523506165 %
160,6.898268,79.913712,U turn,21.871285140514374 %
161,6.898173,79.913770,U turn,26.429829001426697 %
162,6.898073,79.913830,U turn,22.85071164369583 %
163,6.897976,79.913888,U turn,19.222351908683777 %
164,6.897868,79.913943,U turn,24.17369931936264 %
165,6.897761,79.913998,U turn,22.459526360034943 %
166,6.897659,79.914058,U turn,19.92432028055191 %
167,6.897550,79.914115,U turn,21.180294454097748 %
168,6.897441,79.914183,U turn,18.88827681541443 %
169,6.897330,79.914251,U turn,15.784899890422821 %
