fid,lat,long
267,6.911640,79.867311
268,6.911632,79.867400
269,6.911624,79.867489
270,6.911615,79.867583
271,6.911608,79.867673
272,6.911605,79.867767
273,6.911606,79.867852
274,6.911606,79.867940
275,6.911602,79.868028
276,6.911592,79.868120
277,6.911592,79.868209
278,6.911593,79.868298
279,6.911587,79.868386
280,6.911581,79.868471
281,6.911574,79.868552
282,6.911570,79.868633
283,6.911569,79.868713
284,6.911568,79.868787
285,6.911569,79.868861
286,6.911567,79.868938
287,6.911568,79.869017
288,6.911566,79.869092
289,6.911563,79.869165
290,6.911557,79.869243
291,6.911548,79.869330
292,6.911544,79.869416
293,6.911540,79.869502
294,6.911537,79.869594
295,6.911534,79.869686
296,6.911534,79.869775
297,6.911530,79.869861
298,6.911534,79.869943
299,6.911545,79.870021
300,6.911544,79.870081
301,6.911544,79.870131
302,6.911541,79.870171
303,6.911538,79.870220
304,6.911534,79.870267
305,6.911533,79.870314
306,6.911531,79.870357
307,6.911531,79.870383
308,6.911529,79.870403
309,6.911527,79.870410
310,6.911528,79.870408
311,6.911529,79.870405
312,6.911532,79.870404
313,6.911535,79.870404
314,6.911535,79.870404
315,6.911535,79.870404
316,6.911538,79.870413
317,6.911539,79.870426
318,6.911541,79.870440
319,6.911541,79.870449
320,6.911541,79.870456
321,6.911538,79.870464
322,6.911534,79.870471
323,6.911530,79.870471
324,6.911530,79.870471
325,6.911530,79.870471
326,6.911530,79.870471
327,6.911530,79.870471
328,6.911530,79.870471
329,6.911530,79.870471
330,6.911530,79.870471
331,6.911530,79.870471
332,6.911530,79.870471
333,6.911530,79.870471
334,6.911530,79.870471
335,6.911530,79.870471
336,6.911530,79.870471
337,6.911530,79.870471
339,6.911528,79.870476
340,6.911524,79.870493
341,6.911533,79.870518
342,6.911530,79.870566
343,6.911525,79.870639
344,6.911508,79.870725
345,6.911501,79.870819
346,6.911495,79.870908
347,6.911489,79.871001
348,6.911486,79.871091
349,6.911486,79.871182
350,6.911491,79.871279
351,6.911493,79.871366
352,6.911493,79.871457
353,6.911493,79.871545
354,6.911481,79.871638
355,6.911478,79.871725
356,6.911474,79.871805
357,6.911470,79.871884
358,6.911467,79.871962
359,6.911464,79.872044
360,6.911465,79.872124
361,6.911465,79.872198
362,6.911466,79.872271
363,6.911461,79.872337
364,6.911456,79.872406
365,6.911451,79.872476
366,6.911446,79.872549
367,6.911444,79.872629
368,6.911443,79.872718
369,6.911447,79.872806
370,6.911449,79.872890
371,6.911445,79.872983
372,6.911443,79.873079
373,6.911440,79.873173
374,6.911436,79.873280
375,6.911437,79.873391
376,6.911435,79.873492
377,6.911436,79.873606
378,6.911436,79.873714
379,6.911438,79.873829
380,6.911448,79.873950
381,6.911442,79.874057
382,6.911435,79.874165
383,6.911431,79.874269
384,6.911429,79.874376
385,6.911421,79.874473
386,6.911414,79.874570
387,6.911406,79.874663
388,6.911398,79.874751
389,6.911395,79.874839
390,6.911393,79.874925
391,6.911391,79.875007
392,6.911384,79.875089
393,6.911379,79.875169
394,6.911378,79.875254
395,6.911377,79.875340
396,6.911379,79.875440
