fid,lat,long
1,6.893977,79.915817
2,6.893949,79.915867
3,6.893921,79.915906
4,6.893903,79.915923
5,6.893876,79.915950
6,6.893851,79.915993
7,6.893825,79.916050
8,6.893800,79.916133
9,6.893777,79.916201
10,6.893748,79.916266
11,6.893728,79.916344
12,6.893704,79.916422
13,6.893676,79.916522
14,6.893649,79.916629
15,6.893644,79.916741
16,6.893635,79.916853
17,6.893625,79.916986
18,6.893606,79.917113
19,6.893591,79.917240
20,6.893578,79.917366
21,6.893568,79.917487
22,6.893564,79.917594
23,6.893562,79.917707
24,6.893569,79.917831
25,6.893576,79.917968
26,6.893599,79.918101
27,6.893628,79.918238
28,6.893659,79.918367
29,6.893678,79.918501
30,6.893702,79.918638
31,6.893714,79.918772
32,6.893720,79.918905
33,6.893723,79.919040
34,6.893707,79.919177
35,6.893677,79.919316
36,6.893641,79.919458
37,6.893599,79.919595
38,6.893562,79.919725
39,6.893534,79.919847
40,6.893512,79.919947
41,6.893475,79.920067
42,6.893435,79.920198
43,6.893389,79.920328
44,6.893353,79.920455
45,6.893316,79.920586
46,6.893280,79.920715
47,6.893245,79.920838
48,6.893207,79.920967
49,6.893170,79.921090
50,6.893129,79.921214
51,6.893084,79.921323
52,6.893021,79.921407
53,6.892957,79.921483
54,6.892889,79.921553
55,6.892825,79.921611
56,6.892765,79.921661
57,6.892708,79.921706
58,6.892680,79.921739
59,6.892648,79.921753
60,6.892606,79.921770
61,6.892548,79.921797
62,6.892480,79.921830
63,6.892409,79.921871
64,6.892340,79.921911
65,6.892271,79.921967
66,6.892203,79.922018
67,6.892135,79.922067
68,6.892074,79.922106
69,6.892014,79.922134
70,6.891960,79.922172
71,6.891906,79.922213
72,6.891843,79.922265
73,6.891782,79.922325
74,6.891715,79.922380
75,6.891651,79.922433
76,6.891586,79.922487
77,6.891528,79.922540
78,6.891470,79.922594
79,6.891412,79.922653
80,6.891366,79.922712
81,6.891314,79.922768
82,6.891265,79.922828
83,6.891227,79.922904
84,6.891190,79.922979
85,6.891145,79.923053
86,6.891095,79.923135
87,6.891044,79.923220
88,6.891002,79.923308
89,6.890963,79.923407
90,6.890926,79.923506
91,6.890896,79.923605
92,6.890872,79.923716
93,6.890859,79.923828
94,6.890855,79.923930
95,6.890858,79.924031
96,6.890867,79.924138
97,6.890877,79.924251
98,6.890891,79.924376
99,6.890904,79.924499
100,6.890917,79.924627
101,6.890931,79.924755
102,6.890945,79.924878
103,6.890959,79.924994
104,6.890972,79.925106
105,6.890987,79.925217
106,6.891002,79.925328
107,6.891015,79.925431
108,6.891029,79.925535
109,6.891042,79.925645
110,6.891057,79.925745
111,6.891070,79.925842
112,6.891087,79.925941
113,6.891092,79.926048
114,6.891098,79.926151
115,6.891105,79.926259
116,6.891105,79.926259
117,6.891095,79.926483
118,6.891080,79.926594
119,6.891068,79.926712
120,6.891059,79.926834
121,6.891050,79.926951
122,6.891045,79.927067
123,6.891040,79.927182
124,6.891036,79.927295
125,6.891035,79.927399
126,6.891034,79.927500
127,6.891031,79.927591
128,6.891026,79.927688
129,6.891019,79.927794
130,6.891016,79.927895
131,6.891019,79.927989
132,6.891028,79.928075
133,6.891064,79.928150
134,6.891095,79.928216
