fid,lat,long
1,6.906313,79.902903
2,6.906292,79.903021
3,6.906342,79.903216
4,6.906366,79.903392
5,6.906374,79.903540
6,6.906373,79.903671
7,6.906342,79.903775
8,6.906328,79.903887
9,6.906287,79.903990
10,6.906272,79.904083
11,6.906239,79.904199
12,6.906188,79.904328
13,6.906125,79.904460
14,6.906055,79.904599
15,6.905960,79.904678
16,6.905861,79.904782
17,6.905793,79.904925
18,6.905725,79.905047
19,6.905642,79.905153
20,6.905543,79.905263
21,6.905482,79.905382
22,6.905422,79.905492
23,6.905328,79.905596
24,6.905221,79.905700
25,6.905122,79.905797
26,6.905024,79.905892
27,6.904926,79.905984
28,6.904824,79.906077
29,6.904734,79.906162
30,6.904647,79.906242
31,6.904560,79.906320
32,6.904474,79.906395
33,6.904394,79.906464
34,6.904311,79.906535
35,6.904228,79.906607
36,6.904147,79.906678
37,6.904071,79.906746
38,6.904009,79.906807
39,6.903946,79.906869
40,6.903896,79.906920
41,6.903858,79.906960
42,6.903825,79.906990
43,6.903797,79.907016
44,6.903769,79.907040
45,6.903744,79.907062
46,6.903720,79.907078
48,6.903698,79.907094
48,6.903675,79.907114
49,6.903652,79.907135
50,6.903623,79.907160
51,6.903587,79.907198
52,6.903548,79.907242
53,6.903506,79.907286
54,6.903465,79.907328
55,6.903425,79.907369
56,6.903388,79.907407
57,6.903352,79.907448
58,6.903320,79.907485
59,6.903290,79.907522
60,6.903253,79.907569
61,6.903213,79.907623
62,6.903170,79.907686
63,6.903133,79.907749
64,6.903101,79.907814
65,6.903075,79.907876
66,6.903055,79.907937
67,6.903039,79.907997
68,6.903033,79.908065
69,6.903030,79.908135
70,6.903032,79.908200
71,6.903038,79.908269
72,6.903050,79.908340
73,6.903063,79.908400
74,6.903077,79.908468
75,6.903095,79.908536
76,6.903132,79.908613
77,6.903168,79.908694
78,6.903212,79.908772
79,6.903257,79.908852
80,6.903305,79.908936
81,6.903355,79.909025
82,6.903401,79.909112
83,6.903445,79.909201
84,6.903488,79.909292
85,6.903510,79.909402
86,6.903527,79.909512
87,6.903538,79.909624
88,6.903532,79.909731
89,6.903525,79.909832
90,6.903519,79.909920
91,6.903512,79.909999
92,6.903503,79.910076
93,6.903495,79.910153
94,6.903484,79.910233
95,6.903475,79.910286
96,6.903468,79.910326
97,6.903463,79.910350
98,6.903460,79.910365
99,6.903458,79.910383
100,6.903455,79.910408
101,6.903453,79.910435
102,6.903445,79.910469
103,6.903436,79.910514
104,6.903427,79.910561
105,6.903399,79.910606
106,6.903361,79.910644
107,6.903319,79.910680
108,6.903286,79.910696
109,6.903246,79.910717
110,6.903191,79.910736
111,6.903131,79.910763
112,6.903065,79.910798
113,6.902994,79.910840
114,6.902921,79.910886
115,6.902842,79.910935
116,6.902757,79.910988
117,6.902665,79.911045
118,6.902567,79.911106
119,6.902469,79.911171
120,6.902371,79.911238
121,6.902276,79.911305
122,6.902180,79.911379
123,6.902091,79.911448
124,6.902003,79.911518
125,6.901919,79.911577
126,6.901829,79.911631
127,6.901735,79.911683
128,6.901636,79.911740
129,6.901539,79.911797
130,6.901446,79.911855
131,6.901334,79.911925
132,6.901225,79.911992
133,6.901111,79.912063
134,6.901005,79.912125
135,6.900902,79.912179
136,6.900798,79.912239
137,6.900688,79.912301
138,6.900577,79.912359
139,6.900465,79.912418
140,6.900350,79.912477
141,6.900236,79.912542
142,6.900126,79.912606
143,6.900018,79.912666
144,6.899903,79.912729
145,6.899790,79.912795
146,6.899680,79.912860
147,6.899577,79.912922
148,6.899474,79.912985
149,6.899371,79.913046
150,6.899267,79.913106
151,6.899165,79.913163
152,6.899067,79.913225
153,6.898969,79.913288
154,6.898870,79.913352
155,6.898769,79.913417
156,6.898666,79.913476
157,6.898563,79.913531
158,6.898462,79.913588
159,6.898364,79.913649
160,6.898268,79.913712
161,6.898173,79.913770
162,6.898073,79.913830
163,6.897976,79.913888
164,6.897868,79.913943
165,6.897761,79.913998
166,6.897659,79.914058
167,6.897550,79.914115
168,6.897441,79.914183
169,6.897330,79.914251
