fid,lat,long
1,6.913633,79.972137
2,6.913548,79.972146
3,6.913456,79.972157
4,6.913357,79.972159
5,6.913260,79.972163
6,6.913161,79.972173
7,6.913063,79.972184
8,6.912967,79.972189
9,6.912871,79.972193
10,6.912766,79.972194
11,6.912665,79.972197
12,6.912566,79.972200
13,6.912467,79.972196
14,6.912372,79.972187
15,6.912281,79.972171
16,6.912189,79.972151
17,6.912099,79.972136
18,6.912000,79.972116
19,6.911903,79.972090
20,6.911816,79.972055
21,6.911718,79.972022
22,6.911608,79.971988
23,6.911489,79.971958
24,6.911372,79.971912
25,6.911267,79.971861
26,6.911161,79.971811
27,6.911064,79.971775
28,6.910965,79.971737
29,6.910868,79.971708
30,6.910781,79.971683
31,6.910697,79.971660
32,6.910624,79.971641
33,6.910565,79.971621
34,6.910504,79.971603
35,6.910446,79.971588
36,6.910389,79.971568
37,6.910333,79.971547
38,6.910279,79.971526
39,6.910230,79.971507
40,6.910180,79.971482
41,6.910124,79.971462
42,6.910071,79.971439
43,6.910037,79.971404
44,6.909996,79.971373
45,6.909951,79.971350
46,6.909914,79.971329
47,6.909885,79.971303
48,6.909857,79.971281
49,6.909829,79.971259
50,6.909800,79.971237
51,6.909769,79.971214
52,6.909736,79.971185
53,6.909701,79.971151
54,6.909662,79.971114
55,6.909626,79.971083
56,6.909586,79.971041
57,6.909541,79.970992
58,6.909494,79.970937
59,6.909451,79.970883
60,6.909402,79.970827
61,6.909355,79.970761
62,6.909313,79.970696
63,6.909276,79.970632
64,6.909248,79.970558
65,6.909216,79.970487
66,6.909187,79.970421
67,6.909150,79.970351
68,6.909110,79.970276
69,6.909074,79.970208
70,6.909042,79.970140
71,6.909023,79.970069
72,6.909001,79.969991
73,6.908967,79.969905
74,6.908936,79.969824
75,6.908904,79.969748
76,6.908868,79.969678
77,6.908830,79.969609
78,6.908804,79.969536
79,6.908772,79.969464
80,6.908736,79.969391
81,6.908702,79.969323
82,6.908677,79.969246
83,6.908646,79.969174
84,6.908618,79.969109
85,6.908594,79.969042
86,6.908582,79.968968
87,6.908575,79.968886
88,6.908570,79.968799
89,6.908574,79.968702
90,6.908582,79.968602
91,6.908600,79.968498
92,6.908622,79.968393
93,6.908648,79.968285
94,6.908681,79.968181
95,6.908726,79.968077
96,6.908781,79.967978
97,6.908832,79.967881
98,6.908879,79.967778
99,6.908924,79.967675
100,6.908961,79.967576
101,6.908993,79.967474
102,6.909017,79.967376
103,6.909025,79.967273
104,6.909029,79.967173
105,6.909028,79.967071
106,6.909017,79.966970
107,6.909000,79.966872
108,6.908972,79.966777
109,6.908944,79.966684
110,6.908915,79.966601
111,6.908886,79.966525
112,6.908859,79.966456
113,6.908830,79.966394
114,6.908806,79.966335
115,6.908779,79.966277
116,6.908749,79.966223
117,6.908708,79.966174
118,6.908661,79.966126
119,6.908614,79.966082
120,6.908561,79.966037
121,6.908497,79.965996
122,6.908437,79.965955
123,6.908367,79.965912
124,6.908294,79.965872
125,6.908218,79.965826
126,6.908140,79.965783
127,6.908059,79.965746
128,6.907978,79.965708
129,6.907891,79.965673
130,6.907804,79.965632
131,6.907713,79.965580
132,6.907622,79.965523
133,6.907538,79.965466
134,6.907454,79.965414
135,6.907379,79.965364
136,6.907303,79.965320
137,6.907227,79.965277
138,6.907153,79.965238
139,6.907084,79.965194
140,6.907018,79.965141
141,6.906944,79.965092
142,6.906869,79.965037
143,6.906796,79.964984
144,6.906720,79.964925
145,6.906650,79.964868
146,6.906588,79.964810
147,6.906524,79.964753
148,6.906461,79.964696
149,6.906401,79.964633
150,6.906338,79.964562
151,6.906284,79.964493
152,6.906234,79.964425
153,6.906191,79.964355
154,6.906154,79.964282
155,6.906117,79.964206
156,6.906076,79.964116
157,6.906031,79.964010
158,6.905993,79.963916
159,6.905958,79.963836
160,6.905923,79.963764
161,6.905895,79.963693
162,6.905867,79.963629
163,6.905838,79.963571
164,6.905808,79.963511
165,6.905785,79.963456
166,6.905761,79.963410
167,6.905745,79.963374
168,6.905734,79.963347
169,6.905725,79.963325
170,6.905717,79.963303
171,6.905707,79.963284
172,6.905696,79.963262
173,6.905682,79.963236
174,6.905667,79.963205
175,6.905644,79.963173
176,6.905624,79.963135
177,6.905598,79.963094
178,6.905570,79.963046
179,6.905543,79.962988
180,6.905515,79.962926
181,6.905482,79.962848
182,6.905447,79.962768
183,6.905412,79.962690
184,6.905369,79.962608
185,6.905324,79.962528
186,6.905276,79.962447
187,6.905223,79.962368
188,6.905171,79.962291
189,6.905118,79.962209
190,6.905061,79.962135
191,6.905010,79.962060
192,6.904959,79.961983
193,6.904908,79.961908
194,6.904860,79.961832
195,6.904814,79.961761
196,6.904777,79.961689
197,6.904737,79.961618
198,6.904699,79.961557
199,6.904660,79.961494
200,6.904627,79.961429
201,6.904593,79.961367
202,6.904563,79.961305
203,6.904533,79.961246
204,6.904501,79.961189
205,6.904471,79.961129
206,6.904437,79.961065
207,6.904403,79.961002
208,6.904372,79.960934
209,6.904338,79.960870
210,6.904306,79.960806
211,6.904276,79.960744
212,6.904247,79.960678
213,6.904219,79.960613
214,6.904191,79.960554
215,6.904161,79.960489
216,6.904136,79.960427
